clientid,name,second_name,phone,email,adress
1,Сократ,Брагин,8 (984) 699-74-18,ilinanaina@example.org,"с. Тавда, ул. Красных Партизан, д. 2/3 к. 8/5, 408287"
2,Федор,Смирнов,+7 156 855 18 36,strelkovazhanna@example.com,"ст. Избербаш, ул. Ореховая, д. 60 стр. 3, 174988"
3,Милица,Александрова,8 (095) 329-69-33,xbelova@example.com,"клх Листвянка (Иркут.), пр. Водопроводный, д. 46 к. 24, 846870"
4,Касьян,Григорьев,85324347498,vlas_22@example.org,"п. Белорецк, пер. Энгельса, д. 7 к. 596, 575756"
5,Кондрат,Ситникова,+7 052 341 67 92,olga2000@example.net,"с. Малгобек, ш. Щербакова, д. 4/4, 925586"
6,Нестор,Быков,8 (633) 832-12-35,demid65@example.org,"клх Сеймчан, бул. Пирогова, д. 6 стр. 121, 898235"
7,Лонгин,Рябов,+74992833930,isapetrov@example.org,"д. Салехард, наб. Геологическая, д. 19 стр. 9, 017098"
8,Максимильян,Бирюкова,8 (297) 659-92-26,glarionova@example.org,"п. Астрахань, наб. Ильича, д. 88 к. 16, 738640"
9,Амос,Тарасов,+7 (372) 933-6975,fomichevsvjatopolk@example.com,"г. Архангельск, бул. Проезжий, д. 3 к. 92, 763907"
10,Милен,Блинов,8 (618) 884-51-29,kuzminauljana@example.org,"п. Калининград, пер. Кедровый, д. 34 к. 3, 720242"
11,Ростислав,Федосеев,81517994909,isidor93@example.org,"с. Горячинск, алл. Рылеева, д. 20, 157274"
12,Евстафий,Зыкова,8 838 788 85 85,kasjan2013@example.com,"к. Чебаркуль, наб. Высоцкого, д. 584 к. 5, 977350"
13,Селиван,Кулакова,+7 (776) 338-7167,rozhkovamarija@example.org,"п. Курск, пр. Путевой, д. 7/9 к. 417, 445345"
14,Велимир,Костин,8 996 702 62 73,shubinairaida@example.org,"п. Снежногорск (Мурм.), пр. Полевой, д. 2/1, 808140"
15,Любосмысл,Евсеева,8 (614) 983-1061,askold09@example.com,"ст. Хужир, пр. Шоссейный, д. 6 к. 56, 095978"
16,Филарет,Мишин,83770103884,anzhelika1995@example.org,"к. Саранск, пр. Грибоедова, д. 4 стр. 4/6, 342796"
17,Венедикт,Соколова,8 (801) 739-91-05,avksenti_78@example.net,"к. Верхоянск, ш. Крайнее, д. 6/8 стр. 1, 202530"
18,Максим,Беспалова,+7 (980) 106-3001,uvarovipat@example.org,"г. Тикси, бул. Революционный, д. 7/6 к. 23, 528171"
