masterid,Имя,Фамилия,Специализация,Опыт_работы,Телефон
1,Александра,Никонова,Распиловщик,6,8 (792) 497-39-80
2,Вероника,Костина,Зенитчик,8,8 708 567 88 87
3,Мефодий,Устинов,Хлебороб,17,+7 (335) 406-3216
4,Фотий,Смирнов,Метранпаж,8,8 855 913 4050
5,Сигизмунд,Лобанов,Министр,18,+7 845 108 7770
6,Артемий,Цветкова,Маммолог,5,+7 274 320 0043
7,Мина,Федорова,Переводчик,15,+7 (717) 182-1327
8,Михаил,Исаков,Огнемётчик,11,8 345 512 91 23
9,Вениамин,Фадеев,Метеоролог,7,+7 568 515 5887
10,Марфа,Федотов,Монтажник связи,19,+7 199 180 49 81
11,Галина,Тихонов,Энтомолог,14,+7 434 619 99 52
12,Влас,Лихачева,Агроном-почвовед,6,+7 (229) 476-6192
13,Карл,Филиппова,Военный дознаватель,20,8 399 998 5600
14,Казимир,Медведев,Финансист,7,8 (744) 314-14-24
15,Любосмысл,Лебедева,Сапожник,18,83623819959
16,Севастьян,Емельянов,Кинооператор,15,8 345 140 55 24
17,Евгения,Беляев,Антрополог,5,+7 546 872 65 88
18,Михей,Романов,Метеоролог,18,85160421463
19,Андрон,Миронова,Авиационный техник,10,8 (696) 685-6554
20,Пахом,Нестеров,Сиделка,19,8 545 972 1824
21,Фёкла,Игнатьева,Машинист локомотива,11,+7 (608) 134-20-53
22,Галина,Филатов,Маляр,20,8 (380) 678-6642
23,Харитон,Белоусов,Стилист,17,+7 (069) 714-4415
24,Боян,Устинова,Скотник,19,+7 (243) 747-08-23
25,Евпраксия,Ефремова,Виноградарь,4,+7 (369) 135-2413
26,Валентин,Воронцов,Искусствовед,13,8 (724) 882-40-18
27,Ферапонт,Голубев,Криптозоолог,19,8 (126) 131-0958
28,Эдуард,Тихонова,Пограничник,13,8 (663) 884-6187
29,Григорий,Сорокина,Маклер биржевой,20,83219644106
30,Радован,Фролов,Вокалист,3,+7 (654) 833-9622
31,Климент,Яковлева,Телефонист,2,+7 121 452 01 83
32,Серафим,Филиппов,Безработный,12,+7 (449) 535-4717
33,Конон,Одинцов,Метранпаж,17,8 135 185 0789
34,Ерофей,Назаров,Каскадёр,10,+7 (782) 575-4496
35,Эммануил,Ильина,Зоотехник,1,+7 (230) 672-20-09
36,Любосмысл,Рожкова,Квасник,8,8 (213) 173-02-49
37,Антонина,Селезнева,Диверсант,7,8 (689) 133-26-64
